,Country,time ,Armed forces occupations_Female,Armed forces occupations_Male,Managers_Female,Managers_Male,Professionals_Female,Professionals_Male,Technicians and associate professionals_Female,Technicians and associate professionals_Male,Clerical support workers_Female,Clerical support workers_Male,Service and sales workers_Female,Service and sales workers_Male,"Skilled agricultural, forestry and fishery workers_Female","Skilled agricultural, forestry and fishery workers_Male",Craft and related trades workers_Female,Craft and related trades workers_Male,"Plant and machine operators, and assemblers_Female","Plant and machine operators, and assemblers_Male",Elementary_Female,Elementary_Male
342,Lao People's Democratic Republic,2022,10582.82,12349.42,13377.13,20647.96,13461.74,16910.63,13729.31,16419.87,14203.73,18188.86,16146.61,13847.76,16934.7,18686.94,9927.99,16794.61,10170.55,21105.78,14059.4,18031.12
346,Lebanon,2019,7731.26,6802.97,12631.5,14281.11,11514.35,13760.95,7497.74,8356.98,7162.62,7009.97,5422.79,5163.09,5741.23,4329.83,4371.79,4559.02,3421.26,4739.31,3596.8,3539.13
368,Maldives,2016,59.65,68.64,89.4,135.58,68.66,110.42,62.77,68.97,50.07,49.19,33.18,40.72,54.04,39.55,92.59,47.24,102.25,56.25,46.86,40.99
394,Mexico,2013,44.44,34.15,66.56,66.5,65.03,70.1,37.23,43.91,33.41,33.51,20.99,23.35,17.91,20.81,20.71,28.36,20.05,25.21,22.05,20.59
395,Mexico,2014,33.43,35.57,68.23,68.1,64.65,72.68,39.22,44.78,33.79,33.69,21.32,23.62,19.27,21.34,20.77,29.12,20.61,25.53,22.71,20.91
396,Mexico,2015,28.15,32.37,73.7,72.49,68.18,74.51,40.28,46.24,35.01,35.33,21.76,23.9,20.48,21.58,21.99,30.07,21.63,26.75,23.6,21.54
397,Mexico,2016,39.72,32.12,71.68,75.85,69.74,76.99,42.22,47.55,36.35,36.95,23.37,25.19,24.68,23.29,22.51,31.98,23.11,28.04,24.79,22.59
398,Mexico,2017,25.56,33.9,74.33,77.43,71.23,78.14,43.5,49.03,38.56,38.77,24.68,26.73,23.93,25.4,23.76,33.08,24.61,29.26,26.61,23.59
399,Mexico,2018,34.87,36.47,73.42,77.98,74.54,80.15,44.27,51.35,40.18,40.36,25.43,28.28,26.12,26.85,25.36,34.94,26.33,31.2,27.78,24.95
400,Mexico,2019,47.3,38.03,72.57,80.91,75.22,83.7,46.85,53.72,41.38,41.98,27.37,29.59,26.64,28.71,27.95,37.33,28.72,33.47,29.8,26.7
401,Mexico,2020,46.22,38.13,103.34,101.32,89.29,100.16,61.68,58.91,51.78,53.13,30.49,32.17,31.47,30.85,27.86,41.09,30.32,36.03,32.35,29.37
402,Mexico,2021,45.88,45.28,86.94,100.31,89.46,100.66,57.82,62.19,49.69,49.11,30.68,33.62,32.83,33.01,32.33,42.15,32.58,37.56,33.6,29.86
403,Mexico,2022,42.53,47.07,86.15,93.93,89.11,99.39,58.07,61.95,49.22,50.08,33.31,36.38,32.57,35.74,34.27,44.79,35.5,40.43,35.83,32.61
404,Mexico,2023,57.84,51.02,99.12,109.39,94.24,108.42,62.73,66.73,54.13,55.15,37.03,40.8,38.15,40.16,38.14,50.22,40.63,45.87,40.13,36.43
408,Mongolia,2011,2192.3,2115.97,2554.01,2700.23,2038.81,2437.52,1772.89,1987.01,1698.52,1759.27,1101.71,1272.21,1294.78,881.92,1309.98,1601.03,1873.54,1779.19,1039.26,1075.17
409,Mongolia,2012,2625.33,2749.04,2973.65,3744.55,2648.16,3162.81,2486.61,2553.9,2113.7,2140.37,1388.65,1707.04,1099.63,920.56,1579.69,1961.24,2250.6,2273.99,1342.88,1275.06
410,Mongolia,2013,2613.01,3016.13,3388.17,4322.57,3119.36,3816.86,2984.88,3224.07,2524.27,2520.6,1688.09,2054.31,1223.86,1374.37,1883.7,2377.51,2747.5,2807.34,1555.33,1664.76
411,Mongolia,2014,3793.61,3837.88,4080.82,4657.85,3589.02,4188.06,3029.72,3584.22,2740.77,2839.24,2141.48,2349.78,1542.84,1367.34,2336.57,2901.61,3101.44,3296.31,1867.25,1942.99
412,Mongolia,2015,2873.25,3758.57,4341.32,5019.7,3786.02,4451.13,3414.43,3887.24,3022.63,3039.81,2097.08,2565.03,1373.75,1312.88,2439.63,2940.19,3427.72,3446.84,1995.2,2017.69
413,Mongolia,2016,3066.19,3943.36,4272.62,4869.47,3742.45,4359.43,3465.12,3682.73,2808.43,3396.2,2100.14,2494.64,1652.34,1539.8,2239.46,2968.33,3377.89,3326.58,1977.26,2037.09
414,Mongolia,2017,4400.0,3900.0,4100.0,5300.0,3900.0,4800.0,3400.0,3800.0,3000.0,3200.0,2200.0,2500.0,1800.0,1600.0,2500.0,3000.0,3400.0,3500.0,2100.0,2000.0
415,Mongolia,2018,4600.0,3700.0,4600.0,5300.0,4000.0,4900.0,3700.0,4200.0,3200.0,3400.0,2400.0,2600.0,1800.0,1200.0,2500.0,3100.0,3700.0,3800.0,2200.0,2400.0
416,Mongolia,2019,3918.33,4690.38,4972.78,5679.23,4680.91,5454.08,4244.28,4762.23,3426.57,4090.65,2598.96,3302.74,2440.79,1907.61,3122.35,3732.28,4392.65,4044.68,2700.79,2685.42
417,Mongolia,2020,5573.81,5388.97,7307.55,5980.26,5041.77,5784.58,4672.85,5083.6,4073.79,4537.93,3253.0,3398.27,2061.28,1914.94,3233.45,4421.67,5612.47,4798.45,2905.93,3129.58
418,Mongolia,2021,4595.05,5397.28,6410.73,8098.42,5121.7,6268.98,4509.78,5838.66,4259.17,4747.95,3458.74,3869.6,1572.82,1692.01,3775.46,4638.18,5307.49,4867.28,2924.1,3348.98
419,Mongolia,2022,5038.86,5621.24,7203.37,7312.3,5949.72,7743.53,5178.13,6029.77,4690.09,5685.77,3935.89,4254.03,2227.18,2690.73,4205.96,5695.67,7464.22,6816.1,3607.27,4240.36
420,Mongolia,2023,5282.02,7509.14,7758.71,8510.91,6873.14,9151.03,6244.04,6887.1,4998.41,6358.09,4760.22,5703.51,2719.36,4001.74,5156.23,6215.44,6220.67,7940.6,4334.74,5256.63
426,Myanmar,2020,0.0,1457.16,2564.51,2329.64,1559.54,1918.98,2018.47,2013.82,1676.15,1594.25,1426.7,1565.69,660.84,998.43,1338.22,1373.8,1750.33,1521.06,769.69,1044.49
427,Nepal,2017,138.48,102.67,164.24,186.75,100.48,163.4,129.12,149.63,88.06,101.81,80.81,74.13,109.38,94.4,110.02,126.88,48.15,103.62,92.37,98.77
430,Netherlands,2018,20.0,17.0,29.0,36.0,24.0,27.0,19.0,23.0,16.0,18.0,13.0,14.0,12.0,14.0,13.0,17.0,13.0,16.0,11.0,11.0
433,North Macedonia,2018,244.42,233.38,382.74,493.93,238.76,293.49,191.52,243.25,174.0,182.76,139.64,167.8,131.3,134.75,126.11,171.27,120.31,163.62,128.95,152.78
436,Norway,2018,233.0,288.0,372.0,482.0,301.0,375.0,277.0,347.0,240.0,250.0,217.0,214.0,173.0,211.0,207.0,241.0,227.0,257.0,204.0,214.0
442,Occupied Palestinian Territory,2020,16.38,13.29,36.48,31.45,23.93,23.21,17.3,19.19,14.75,12.65,10.81,10.48,0.0,12.11,4.66,25.82,7.2,14.65,14.41,17.83
443,Occupied Palestinian Territory,2021,15.31,13.42,27.44,26.77,19.06,20.89,14.72,17.41,15.93,14.19,8.94,9.96,0.0,11.51,7.61,27.94,9.92,14.99,12.89,19.28
476,Paraguay,2003,0.0,4553.96,13633.17,14758.97,11011.39,14225.67,6930.06,10002.74,7074.36,5662.66,2955.94,4566.18,4412.29,3568.94,2825.83,3564.97,3297.6,4310.95,2033.85,3058.37
488,Paraguay,2015,0.0,27926.97,23161.72,29983.31,23473.87,28279.36,17152.95,20448.82,11849.18,12434.96,7221.06,9950.92,7913.39,7094.31,8058.86,10340.94,16542.1,10400.55,6640.07,7960.01
490,Paraguay,2017,0.0,28729.47,29058.04,35966.11,28405.53,32730.27,19629.6,21209.63,13539.25,16055.88,9844.93,11586.13,8559.8,10080.49,9290.6,11841.27,9720.32,12611.4,9257.6,9690.19
498,Philippines,2017,205.67,116.82,189.35,171.07,157.13,176.86,105.63,106.85,87.03,88.89,50.12,60.33,75.53,77.81,53.13,72.76,56.64,74.01,69.5,57.48
499,Philippines,2018,167.53,144.31,163.86,179.03,161.62,174.96,112.65,111.81,90.49,89.23,54.41,65.8,78.54,123.5,54.53,74.53,57.35,76.2,75.1,59.73
500,Philippines,2019,201.35,171.89,179.36,194.37,171.73,192.92,119.73,118.46,94.75,94.95,59.47,70.94,78.27,96.63,57.67,78.64,60.21,78.1,82.46,64.16
501,Philippines,2020,236.85,175.03,217.17,240.76,217.95,211.73,144.67,132.17,113.99,109.81,67.18,80.74,45.0,86.92,69.9,94.37,67.83,87.08,89.82,74.83
502,Philippines,2021,209.02,162.07,174.52,191.92,186.44,201.62,131.47,125.9,107.19,105.48,73.55,83.99,84.5,101.8,67.73,93.34,69.61,90.56,94.23,77.27
503,Philippines,2022,174.03,154.64,203.02,205.67,192.93,203.84,134.62,131.49,109.89,107.78,70.38,80.68,92.05,88.58,68.99,92.7,68.4,88.08,93.32,77.94
506,Portugal,2011,4.64,8.86,7.24,9.18,8.91,9.44,5.79,6.33,4.94,5.01,3.45,4.29,3.07,3.47,3.33,4.34,3.21,4.25,3.49,3.6
507,Portugal,2012,5.45,6.27,7.16,9.69,9.1,9.3,5.69,6.69,4.58,4.98,3.47,4.45,3.14,3.37,3.2,4.13,3.18,4.2,3.6,3.67
508,Portugal,2013,5.57,6.32,7.92,10.32,9.57,9.06,5.54,6.15,4.35,4.75,3.41,4.26,3.17,3.64,3.42,4.19,3.17,4.46,3.47,3.8
509,Portugal,2014,5.01,6.16,7.69,9.12,8.4,8.91,5.5,6.7,4.51,4.67,3.38,4.25,4.23,3.66,3.42,4.17,3.24,4.34,3.59,3.55
510,Portugal,2015,4.87,6.64,8.63,9.47,8.56,9.08,5.34,6.12,4.45,4.49,3.5,4.44,3.45,3.71,3.47,4.19,3.27,4.3,3.57,3.72
511,Portugal,2016,4.84,6.34,7.15,10.06,8.38,8.77,5.82,6.45,4.59,4.74,3.71,4.5,3.29,3.52,3.56,4.32,3.53,4.33,3.75,3.72
512,Portugal,2017,5.66,6.48,8.3,9.64,8.9,9.14,5.8,6.78,4.71,5.03,3.82,4.52,3.63,3.63,3.62,4.35,3.61,4.53,3.88,3.85
513,Portugal,2018,6.41,6.7,8.63,9.11,8.7,9.05,5.68,6.73,4.79,4.94,3.97,4.82,3.49,4.26,3.8,4.71,3.86,4.67,4.0,4.03
514,Portugal,2019,6.66,8.29,9.05,9.48,9.28,9.85,5.87,6.54,5.08,5.23,4.21,4.86,4.84,4.0,4.04,4.7,3.92,4.89,4.15,4.28
515,Portugal,2020,9.08,10.39,13.13,11.32,9.18,10.08,7.18,7.68,5.58,5.94,4.66,5.7,4.09,4.05,4.32,5.13,4.23,5.16,4.68,4.63
516,Portugal,2021,5.69,8.51,8.71,10.02,9.09,11.6,6.43,7.7,5.67,5.71,4.8,5.72,4.12,4.15,4.36,5.28,4.47,5.56,4.73,4.99
517,Portugal,2022,5.49,8.46,10.05,11.07,9.42,9.88,6.87,7.37,5.56,6.2,4.91,5.75,6.12,4.73,4.65,5.53,4.73,5.9,5.04,4.89
518,Portugal,2023,7.51,8.18,9.93,10.57,9.69,10.55,7.09,7.78,6.19,6.15,5.16,5.84,5.15,4.97,5.36,5.89,5.01,6.07,5.28,5.32
534,Republic of Moldova,2008,10.75,4.28,12.76,15.77,13.02,14.17,8.4,11.2,7.77,8.73,7.1,9.88,5.36,6.28,9.73,12.43,10.49,10.15,5.77,6.37
536,Republic of Moldova,2010,0.0,2.62,15.63,18.1,17.09,17.2,11.14,13.84,9.54,11.52,7.45,10.5,7.03,6.43,10.83,13.3,10.28,10.8,6.99,7.25
537,Republic of Moldova,2011,0.0,3.03,16.39,18.49,19.1,18.22,11.42,14.38,10.12,12.22,8.11,11.64,7.03,6.49,11.07,13.54,11.47,11.84,7.16,7.42
539,Republic of Moldova,2013,16.29,9.18,19.96,20.03,22.08,21.42,14.02,18.26,12.98,15.49,9.32,12.83,10.23,7.99,12.6,16.1,13.56,14.23,8.67,8.91
540,Republic of Moldova,2014,19.32,7.13,20.18,23.63,23.0,22.72,14.43,17.8,12.61,16.17,9.47,13.23,11.55,9.56,13.5,16.83,13.73,14.76,9.19,9.7
542,Republic of Moldova,2016,23.9,7.43,23.86,25.53,25.98,25.94,16.4,21.86,14.51,17.07,11.59,15.64,12.63,11.17,17.21,19.1,16.06,16.57,10.21,10.08
543,Republic of Moldova,2017,24.01,12.16,23.59,26.05,27.07,26.61,17.84,23.85,17.44,20.69,12.47,16.72,12.46,12.28,18.44,21.02,15.3,17.66,10.92,10.73
574,Slovakia,2015,8.48,8.11,10.45,14.67,6.92,9.25,6.0,7.45,4.86,5.32,3.69,4.96,3.55,4.19,4.03,5.45,4.08,5.01,3.11,3.76
575,Slovakia,2019,12.49,12.4,12.48,16.83,8.71,11.22,7.57,9.5,6.29,6.86,5.21,6.78,4.93,5.48,5.53,7.32,5.65,6.85,4.28,5.02
576,Slovakia,2020,13.92,13.87,13.44,17.66,9.52,11.92,8.06,9.81,6.59,6.96,5.66,7.45,5.39,5.77,5.78,7.45,6.06,7.04,4.67,5.31
577,Slovakia,2021,14.12,14.06,13.74,17.73,10.05,12.5,8.61,10.33,7.02,7.53,6.06,7.85,5.79,6.1,6.09,7.98,6.38,7.56,5.07,5.71
578,Slovakia,2022,14.69,14.64,14.51,18.63,10.54,13.3,9.17,11.08,7.57,8.04,6.46,8.2,6.47,6.91,6.61,8.62,6.84,8.04,5.33,6.11
582,South Africa,2018,13.0,15.0,14.0,15.0,36.0,44.0,20.0,23.0,47.0,58.0,11.0,20.0,18.0,20.0,30.0,17.0,24.0,20.0,23.0,35.0
595,Sri Lanka,2013,93.45,135.45,213.05,215.99,169.32,217.35,125.43,155.93,114.37,126.76,74.02,85.79,55.1,77.74,60.74,104.31,73.86,102.02,58.98,80.38
597,Sri Lanka,2015,167.18,179.83,289.97,305.11,261.83,315.83,170.71,193.82,149.62,161.24,87.32,110.24,60.27,98.78,69.52,123.06,82.92,116.9,71.06,97.4
598,Sri Lanka,2016,148.77,198.41,287.8,322.25,250.61,335.06,179.07,195.74,153.71,167.78,94.75,122.3,75.78,112.95,71.61,136.51,93.43,134.65,75.01,107.62
599,Sri Lanka,2017,172.08,204.4,309.2,343.65,342.57,329.34,198.66,201.52,159.13,178.08,439.3,135.59,90.91,103.16,84.27,162.44,94.8,139.56,80.01,118.89
600,Sri Lanka,2018,178.09,213.3,323.54,337.81,311.11,555.77,201.18,208.8,186.21,187.68,115.97,138.3,75.89,118.54,91.4,182.49,118.5,164.54,88.77,132.27
601,Sri Lanka,2019,181.4,230.65,337.64,409.41,278.71,387.95,218.77,238.47,178.2,201.99,119.4,155.64,82.02,96.4,105.13,182.3,122.64,169.04,78.81,110.48
604,Sri Lanka,2022,265.96,281.09,469.3,504.31,393.73,532.56,277.03,273.41,229.85,236.87,162.23,173.46,103.57,83.01,120.67,186.07,146.1,203.2,98.92,125.57
614,Sweden,2022,177.8,203.8,336.5,385.7,245.2,285.7,213.6,246.8,184.7,183.6,167.9,173.3,154.3,169.6,177.7,198.4,177.8,185.0,145.0,156.9
617,Switzerland,2002,0.0,33.91,56.14,50.33,43.32,51.46,32.87,39.67,31.01,36.98,24.6,30.05,21.69,23.14,23.52,28.75,22.15,33.79,26.5,27.82
618,Switzerland,2003,0.0,36.53,42.78,54.58,41.53,53.48,32.53,40.06,31.47,35.81,24.41,30.41,22.98,23.31,26.99,29.43,28.74,31.89,26.71,28.41
627,Switzerland,2012,0.0,44.69,51.37,63.41,48.65,58.04,36.06,44.38,34.35,36.53,25.71,31.82,23.88,34.39,24.04,30.57,23.78,34.64,26.81,29.18
628,Switzerland,2013,0.0,46.08,50.25,62.66,49.33,60.0,36.67,47.81,35.06,38.98,26.81,32.67,25.32,25.64,25.39,30.35,27.39,32.68,27.14,29.36
630,Switzerland,2015,0.0,37.44,48.7,81.77,52.02,56.87,36.96,45.96,35.14,39.9,26.91,33.97,19.99,26.75,29.03,31.77,26.28,35.24,28.44,30.75
631,Switzerland,2016,0.0,41.26,50.95,58.81,49.83,56.8,36.74,48.68,36.55,39.82,27.61,32.2,18.95,25.17,25.99,30.18,28.43,32.03,28.25,32.99
632,Switzerland,2017,0.0,62.08,50.04,65.93,52.66,57.58,36.99,46.16,35.31,37.47,29.07,33.37,20.3,27.8,25.35,31.62,28.35,32.77,29.22,31.53
639,"Tanzania, United Republic of",2020,3438.12,3708.45,6309.92,5606.38,6173.19,6049.56,3799.31,4284.52,2404.99,3055.73,1462.36,1373.3,2118.54,1879.33,2766.44,2122.52,2410.25,1663.57,2059.34,1780.75
648,Thailand,2022,183.89,183.69,190.76,185.6,176.01,201.97,121.51,147.75,92.96,95.9,61.69,78.43,50.62,53.18,57.33,69.54,66.27,71.76,48.39,47.79
649,Thailand,2023,174.58,191.76,195.92,189.64,180.27,201.66,125.39,152.95,97.09,99.51,63.27,78.03,47.37,51.55,59.31,71.73,63.07,75.06,51.76,50.04
684,United Kingdom of Great Britain and Northern Ireland,2011,15.2,19.63,16.72,20.6,17.23,20.19,13.05,15.63,10.3,10.95,8.19,9.79,8.97,8.61,8.65,11.72,7.9,10.51,7.24,8.35
685,United Kingdom of Great Britain and Northern Ireland,2012,15.75,16.91,18.66,21.58,17.47,20.27,12.94,15.59,11.17,11.45,8.05,9.7,10.84,9.08,9.22,11.78,8.02,10.89,7.31,8.33
686,United Kingdom of Great Britain and Northern Ireland,2013,13.98,17.16,18.64,21.5,18.01,20.86,13.06,15.57,10.79,11.47,8.37,10.03,10.59,9.09,9.32,12.05,8.93,11.1,7.5,8.53
687,United Kingdom of Great Britain and Northern Ireland,2014,22.51,18.65,18.83,21.61,18.14,20.92,13.38,15.74,11.02,11.7,8.32,10.15,9.01,9.44,9.78,12.58,9.51,10.8,7.25,8.85
688,United Kingdom of Great Britain and Northern Ireland,2015,17.65,18.52,18.76,22.93,18.0,21.83,14.16,16.13,11.35,11.42,8.61,10.12,9.72,9.6,9.11,12.56,9.3,11.01,7.61,8.74
689,United Kingdom of Great Britain and Northern Ireland,2016,21.28,18.55,20.81,22.12,17.86,21.65,13.62,15.96,11.5,11.84,8.91,10.51,10.33,9.3,10.55,13.12,9.38,11.59,7.88,8.97
690,United Kingdom of Great Britain and Northern Ireland,2017,17.17,25.24,20.27,23.1,18.53,21.79,14.14,17.06,12.08,12.56,9.19,11.7,9.91,9.47,10.11,13.33,9.21,11.72,8.31,9.54
691,United Kingdom of Great Britain and Northern Ireland,2018,15.17,19.16,20.49,25.28,19.0,22.42,14.31,17.64,11.98,13.38,9.53,11.39,13.25,9.92,10.91,13.45,9.3,12.35,8.57,9.85
693,United Kingdom of Great Britain and Northern Ireland,2020,17.26,36.82,23.34,26.71,21.71,25.07,16.69,19.36,13.93,14.62,11.05,12.64,11.85,11.63,12.05,15.54,11.45,14.12,10.49,10.98
728,Viet Nam,2011,22724.43,24872.45,24390.4,26184.11,23281.84,27125.71,16847.7,18490.64,15503.09,13929.71,11655.11,13229.15,16533.28,15612.77,10623.09,14069.55,12645.4,17143.65,9851.0,11271.16
729,Viet Nam,2012,35257.35,36211.78,34715.38,32996.19,30114.77,35178.5,21391.53,24243.04,19192.88,17654.09,14721.18,16160.3,20297.85,18304.91,13850.26,16999.45,16819.06,21118.35,11756.09,13654.97
730,Viet Nam,2013,40468.81,42647.97,41114.08,40124.02,34243.43,39226.56,25177.32,27191.76,21906.17,20261.92,15892.07,17842.02,19590.08,17534.28,14148.73,18236.32,17966.97,22267.72,13070.43,14954.65
731,Viet Nam,2014,48704.1,49190.49,44699.95,46570.72,39603.38,44760.71,29553.02,30906.58,25669.98,24497.9,18554.02,20196.68,17907.31,19077.27,18371.79,21053.71,21735.07,25704.4,14577.25,16522.68
732,Viet Nam,2015,48521.38,53244.32,52489.18,53342.01,44192.55,50145.3,31989.06,34213.68,28683.32,27112.04,19721.19,22253.73,18164.25,21500.07,20451.53,23293.67,25034.42,28802.77,15895.52,18260.12
733,Viet Nam,2016,46077.76,58617.29,50475.37,53879.59,43051.54,50408.4,31163.64,34835.04,30194.32,27793.81,21586.41,23646.33,18591.53,22534.51,20480.91,24377.09,26290.24,30062.39,16873.47,19127.34
734,Viet Nam,2017,48076.55,55478.62,53606.07,55766.73,44609.35,51876.52,32022.28,35950.11,30595.29,28984.88,22687.95,24139.95,20347.5,24724.8,22329.53,26737.57,27039.13,32264.09,18607.13,21613.73
735,Viet Nam,2018,46774.24,51833.45,50294.38,55699.88,43667.02,51464.11,32716.0,36726.3,29947.73,29775.94,23018.57,25565.45,22943.98,24671.12,22473.67,27557.42,26919.84,32437.7,19482.88,22559.61
736,Viet Nam,2019,59584.65,61532.43,61286.09,67671.24,52120.68,61426.02,39273.71,46242.13,37169.03,36977.77,28343.27,30150.29,23832.25,31660.48,28085.45,34072.81,32356.57,38638.82,24660.36,28288.09
737,Viet Nam,2020,51774.07,56415.49,67456.41,68897.09,56901.48,64864.83,42140.45,50366.63,39874.81,37584.36,27470.37,31934.38,26190.17,30867.68,29518.96,37348.75,35676.26,40075.02,25552.46,29676.87
738,Viet Nam,2021,54012.09,53637.03,59040.95,63324.55,53952.13,62146.32,42114.72,47761.04,38870.09,37658.23,29081.74,31392.55,24655.37,30895.43,26811.49,33773.15,31581.62,38483.02,24400.07,28907.39
739,Viet Nam,2022,60510.11,60495.77,62948.33,71397.98,55112.74,64092.21,43606.45,50081.37,43249.12,42292.75,32321.71,34688.2,27013.28,34551.2,31347.55,38535.06,36191.37,41843.71,27884.86,32491.6
740,Viet Nam,2023,69512.11,64785.81,67107.29,73834.85,56890.18,66560.12,46433.35,54902.95,45901.69,43859.67,33325.88,36418.15,26007.54,33746.78,33608.88,40756.91,37280.31,43944.15,29651.52,34322.92
745,Zambia,2020,26.41,33.59,25.08,28.34,38.51,42.32,19.52,33.76,23.56,14.48,7.38,10.41,13.81,5.39,5.69,21.39,14.3,12.14,7.7,10.18
746,Zambia,2021,19.53,35.87,41.26,42.87,31.4,41.34,17.49,41.39,20.93,23.98,9.87,9.47,13.93,9.16,10.96,18.27,12.7,13.38,10.74,11.67
747,Zambia,2022,21.67,31.95,59.09,48.15,36.52,38.35,37.39,25.91,23.86,19.91,8.45,10.74,8.83,17.96,11.02,17.64,17.72,14.71,16.27,12.65
748,Zambia,2023,44.06,26.03,31.97,28.1,37.47,48.9,23.85,28.61,18.04,20.6,7.99,9.87,9.36,10.18,8.85,15.61,7.3,12.87,11.81,11.05
752,Zimbabwe,2023,1405.6,1880.71,3031.5,4355.79,2607.73,3088.0,4001.01,3175.87,3199.22,2172.25,1347.68,1385.43,8086.57,1578.23,1557.7,3105.35,1240.22,2517.99,1547.94,1394.57
